IDSK,id,cust_id,order_date,region,sales_rep,line_id,prod_id,quantity,ship_date,PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID_x,UnitPrice_x,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate,OrderID,ProductID_y,UnitPrice_y,Quantity,Discount
11,2005,101,24-Mar-1996 12:00:00 AM,Eastern,856,1,700,12,24-Sep-1996 12:00:00 AM,8,12,2011-05-14,3,404,45.3705,136.1115,3.0,0.0,3.0,2011-05-07,10252,20,64.8,40,0.05000000074505806
12,2006,105,28-Mar-1996 12:00:00 AM,Central,299,1,300,48,28-Sep-1996 12:00:00 AM,8,13,2011-05-14,3,405,49.644,148.932,3.0,0.0,3.0,2011-05-07,10252,33,2.0,25,0.05000000074505806
13,2007,106,28-Mar-1996 12:00:00 AM,Eastern,667,1,301,24,30-Sep-1996 12:00:00 AM,8,14,2011-05-14,3,406,45.3705,136.1115,3.0,0.0,3.0,2011-05-07,10252,60,27.2,40,0.0
14,2008,107,01-Mar-1996 12:00:00 AM,South,129,1,302,12,01-Oct-1996 12:00:00 AM,8,15,2011-05-14,3,407,43.2705,129.8115,3.0,0.0,3.0,2011-05-07,10253,31,10.0,20,0.0
15,2009,108,04-Apr-1996 12:00:00 AM,South,1142,1,400,12,04-Oct-1996 12:00:00 AM,9,16,2011-12-28,3,422,47.523,142.569,3.0,0.0,3.0,2011-12-21,10253,39,14.4,42,0.0
16,2010,109,05-Apr-1996 12:00:00 AM,Canada,195,1,401,12,05-Oct-1996 12:00:00 AM,9,17,2011-12-28,3,423,45.423,136.269,3.0,0.0,3.0,2011-12-21,10253,49,16.0,40,0.0
17,2011,110,06-Apr-1996 12:00:00 AM,Central,690,1,500,36,07-Oct-1996 12:00:00 AM,9,18,2011-12-28,3,424,49.6965,149.0895,3.0,0.0,3.0,2011-12-21,10254,24,3.6,15,0.15000000596046448
18,2012,111,06-Apr-1996 12:00:00 AM,Eastern,1596,1,501,12,06-Oct-1996 12:00:00 AM,9,19,2011-12-28,3,425,45.423,136.269,3.0,0.0,3.0,2011-12-21,10254,55,19.2,21,0.15000000596046448
19,2013,112,06-Apr-1996 12:00:00 AM,Central,299,1,600,24,11-Oct-1996 12:00:00 AM,9,20,2011-12-28,3,426,43.323,129.969,3.0,0.0,3.0,2011-12-21,10254,74,8.0,21,0.0
20,2013,112,06-Apr-1996 12:00:00 AM,Central,299,2,601,24,11-Oct-1996 12:00:00 AM,10,21,2011-12-28,3,320,47.4705,142.4115,3.0,0.0,3.0,2011-12-21,10255,2,15.2,20,0.0
21,2014,113,07-Apr-1996 12:00:00 AM,Central,467,1,700,36,07-Oct-1996 12:00:00 AM,10,22,2011-12-28,3,321,42.798,128.394,3.0,0.0,3.0,2011-12-21,10255,16,13.9,35,0.0
22,2015,114,30-Apr-1996 12:00:00 AM,Central,949,1,300,24,06-Oct-1996 12:00:00 AM,10,23,2011-12-28,60,322,25.4205,1525.23,60.0,0.0,60.0,2011-12-21,10255,36,15.2,25,0.0
23,2015,114,30-Apr-1996 12:00:00 AM,Central,949,2,301,24,06-Oct-1996 12:00:00 AM,11,24,2011-12-28,3,438,41.223,123.669,3.0,0.0,3.0,2011-12-21,10255,59,44.0,30,0.0
24,2015,114,30-Apr-1996 12:00:00 AM,Central,949,3,302,24,06-Oct-1996 12:00:00 AM,11,25,2011-12-28,3,439,45.4965,136.4895,3.0,0.0,3.0,2011-12-21,10256,53,26.2,15,0.0
25,2015,114,30-Apr-1996 12:00:00 AM,Central,949,4,700,24,06-Oct-1996 12:00:00 AM,11,26,2011-12-28,3,440,41.223,123.669,3.0,0.0,3.0,2011-12-21,10256,77,10.4,12,0.0
26,2016,115,01-Apr-1996 12:00:00 AM,Central,902,1,400,12,08-Oct-1996 12:00:00 AM,11,27,2011-12-28,3,441,39.123,117.369,3.0,0.0,3.0,2011-12-21,10257,27,35.1,25,0.0
27,2016,115,01-Apr-1996 12:00:00 AM,Central,902,2,401,12,08-Oct-1996 12:00:00 AM,12,28,2011-12-28,550,941,62.9895,34644.225,550.0,82.0,468.0,2011-12-21,10257,39,14.4,6,0.0
28,2016,115,01-Apr-1996 12:00:00 AM,Central,902,3,500,12,08-Oct-1996 12:00:00 AM,13,29,2011-12-28,3,320,45.3705,136.1115,3.0,0.0,3.0,2011-12-21,10257,77,10.4,15,0.0
29,2016,115,01-Apr-1996 12:00:00 AM,Central,902,4,501,12,08-Oct-1996 12:00:00 AM,13,30,2011-12-28,3,321,40.488,121.464,3.0,0.0,3.0,2011-12-21,10258,2,15.2,50,0.20000000298023224
30,2017,116,01-Apr-1996 12:00:00 AM,Eastern,856,1,302,48,07-Sep-1996 12:00:00 AM,13,31,2011-12-28,60,322,26.3655,1581.93,60.0,0.0,60.0,2011-12-21,10258,5,17.0,65,0.20000000298023224
31,2017,116,01-Apr-1996 12:00:00 AM,Eastern,856,2,600,48,08-Oct-1996 12:00:00 AM,14,32,2011-12-28,3,504,48.762,146.286,3.0,3.0,0.0,2011-12-21,10258,32,25.6,6,0.20000000298023224
32,2017,116,01-Apr-1996 12:00:00 AM,Eastern,856,3,601,48,08-Oct-1996 12:00:00 AM,15,33,2011-12-28,3,497,34.188,102.564,3.0,0.0,3.0,2011-12-21,10259,21,8.0,10,0.0
33,2018,117,07-Apr-1996 12:00:00 AM,Central,299,1,700,60,08-Sep-1996 12:00:00 AM,16,34,2011-12-28,3,323,50.2635,150.7905,3.0,0.0,3.0,2011-12-21,10259,37,20.8,1,0.0
34,2019,118,13-Apr-1996 12:00:00 AM,South,667,1,300,12,13-Aug-1996 12:00:00 AM,17,35,2011-12-29,550,523,10.731,5902.05,550.0,0.0,550.0,2011-12-22,10260,41,7.7,16,0.25
35,2020,119,02-Apr-1996 12:00:00 AM,Western,129,1,700,24,03-Sep-1996 12:00:00 AM,17,36,2011-12-29,550,524,14.1225,7767.375,550.0,0.0,550.0,2011-12-22,10260,57,15.6,50,0.0
36,2021,120,08-Apr-1996 12:00:00 AM,Eastern,1142,1,600,12,08-Oct-1996 12:00:00 AM,18,37,2011-12-29,60,492,50.2635,3015.81,60.0,0.0,60.0,2011-12-22,10260,62,39.4,15,0.25
37,2022,121,04-Apr-1996 12:00:00 AM,Central,195,1,500,24,04-Nov-1996 12:00:00 AM,18,38,2011-12-29,60,493,57.1515,3429.09,60.0,0.0,60.0,2011-12-22,10260,70,12.0,21,0.25
38,2023,122,03-May-1996 12:00:00 AM,Eastern,690,1,401,24,08-Dec-1996 12:00:00 AM,18,39,2011-12-29,60,494,53.2035,3192.21,60.0,0.0,60.0,2011-12-22,10261,21,8.0,20,0.0
39,2024,123,11-May-1996 12:00:00 AM,Canada,1596,1,302,36,11-Jan-1996 12:00:00 AM,18,40,2011-12-29,60,495,63.693,3821.58,60.0,0.0,60.0,2011-12-22,10261,35,14.4,20,0.0
40,2025,124,01-May-1996 12:00:00 AM,Eastern,299,1,501,12,02-Nov-1996 12:00:00 AM,18,41,2011-12-29,60,496,48.909,2934.54,60.0,0.0,60.0,2011-12-22,10262,5,17.0,12,0.20000000298023224
41,2026,125,04-May-1996 12:00:00 AM,Central,467,1,301,48,04-Aug-1996 12:00:00 AM,19,42,2011-12-29,550,908,21.0945,11601.975,550.0,0.0,550.0,2011-12-22,10262,7,24.0,15,0.0
42,2026,125,04-May-1996 12:00:00 AM,Central,467,2,700,48,04-Aug-1996 12:00:00 AM,19,43,2011-12-29,550,909,30.4395,16741.725,550.0,0.0,550.0,2011-12-22,10262,56,30.4,2,0.0
43,2027,126,13-May-1996 12:00:00 AM,Western,949,1,401,12,16-Dec-1996 12:00:00 AM,19,44,2011-12-29,550,910,40.9395,22516.725,550.0,0.0,550.0,2011-12-22,10263,16,13.9,60,0.25
44,2028,127,30-May-1996 12:00:00 AM,South,902,1,601,24,31-Dec-1996 12:00:00 AM,19,45,2011-12-29,550,911,21.0945,11601.975,550.0,0.0,550.0,2011-12-22,10263,24,3.6,28,0.0
45,2029,128,11-May-1996 12:00:00 AM,Eastern,856,1,302,48,14-Dec-1996 12:00:00 AM,19,46,2011-12-29,550,912,30.4395,16741.725,550.0,0.0,550.0,2011-12-22,10263,30,20.7,60,0.25
46,2030,129,06-May-1996 12:00:00 AM,Eastern,299,1,300,24,06-Oct-1996 12:00:00 AM,20,47,2011-12-29,60,506,9.198,551.88,60.0,0.0,60.0,2011-12-22,10263,74,8.0,36,0.25
47,2030,129,06-May-1996 12:00:00 AM,Eastern,299,2,301,24,06-Oct-1996 12:00:00 AM,21,48,2011-12-29,550,351,5.775,3176.25,550.0,0.0,550.0,2011-12-22,10264,2,15.2,35,0.0
48,2030,129,06-May-1996 12:00:00 AM,Eastern,299,3,302,24,06-Oct-1996 12:00:00 AM,21,49,2011-12-29,550,352,1.155,635.25,550.0,0.0,550.0,2011-12-22,10264,41,7.7,25,0.15000000596046448
49,2030,129,06-May-1996 12:00:00 AM,Eastern,299,4,700,24,06-Oct-1996 12:00:00 AM,21,50,2011-12-29,550,679,5.775,3176.25,550.0,27.0,523.0,2011-12-22,10265,17,31.2,30,0.0
50,2031,130,27-May-1996 12:00:00 AM,Central,667,1,400,48,01-Dec-1996 12:00:00 AM,22,51,2011-12-29,550,507,23.394,12866.7,550.0,82.0,468.0,2011-12-22,10265,70,12.0,20,0.0
51,2031,130,27-May-1996 12:00:00 AM,Central,667,2,401,48,01-Dec-1996 12:00:00 AM,22,52,2011-12-29,550,508,27.6465,15205.575,550.0,0.0,550.0,2011-12-22,10266,12,30.4,12,0.05000000074505806
52,2032,131,03-May-1996 12:00:00 AM,Eastern,129,1,501,60,05-Jan-1996 12:00:00 AM,23,53,2011-12-29,550,355,1.365,750.75,550.0,0.0,550.0,2011-12-22,10267,40,14.7,50,0.0
53,2033,132,14-May-1996 12:00:00 AM,Central,1142,1,400,24,16-Aug-1996 12:00:00 AM,23,54,2011-12-29,550,940,62.9895,34644.225,550.0,0.0,550.0,2011-12-22,10267,59,44.0,70,0.15000000596046448
54,2033,132,14-May-1996 12:00:00 AM,Central,1142,2,401,24,14-Aug-1996 12:00:00 AM,23,55,2011-12-29,550,535,3.486,1917.3,550.0,0.0,550.0,2011-12-22,10267,76,14.4,15,0.15000000596046448
55,2035,134,29-Jun-1996 12:00:00 AM,Central,690,1,501,36,29-Oct-1996 12:00:00 AM,24,56,2011-12-29,550,351,6.195,3407.25,550.0,550.0,0.0,2011-12-22,10268,29,99.0,10,0.0
56,2036,135,06-Jun-1996 12:00:00 AM,Eastern,1596,1,600,12,07-Jul-1996 12:00:00 AM,24,57,2011-12-29,550,352,1.47,808.5,550.0,550.0,0.0,2011-12-22,10268,72,27.8,4,0.0
57,2037,136,24-Jun-1996 12:00:00 AM,Central,299,1,601,12,28-Jul-1996 12:00:00 AM,25,58,2011-12-29,550,507,22.1655,12191.025,550.0,0.0,550.0,2011-12-22,10269,33,2.0,60,0.05000000074505806
58,2038,137,02-Jun-1996 12:00:00 AM,Central,467,1,700,60,05-Aug-1996 12:00:00 AM,25,59,2011-12-29,550,508,29.2845,16106.475,523.0,0.0,523.0,2011-12-22,10269,72,27.8,20,0.05000000074505806
59,2039,138,30-Jun-1996 12:00:00 AM,Central,949,1,300,12,31-Aug-1996 12:00:00 AM,26,60,2011-12-29,3,491,19.9815,59.9445,3.0,0.0,3.0,2011-12-22,10270,36,15.2,30,0.0
60,2040,139,26-Jun-1996 12:00:00 AM,Eastern,902,1,301,24,26-Oct-1996 12:00:00 AM,27,61,2011-12-29,3,341,41.1705,123.5115,3.0,0.0,3.0,2011-12-22,10270,43,36.8,25,0.0
61,2041,140,01-Jun-1996 12:00:00 AM,Central,856,1,302,36,01-Nov-1996 12:00:00 AM,27,62,2011-12-29,3,342,39.0705,117.2115,3.0,0.0,3.0,2011-12-22,10271,33,2.0,24,0.0
62,2042,141,27-Jun-1996 12:00:00 AM,Central,299,1,400,12,27-Aug-1996 12:00:00 AM,27,63,2011-12-29,3,343,43.344,130.032,3.0,0.0,3.0,2011-12-22,10272,20,64.8,6,0.0
63,2043,142,13-Jun-1996 12:00:00 AM,Central,667,1,401,36,20-Sep-1996 12:00:00 AM,27,64,2011-12-29,3,344,39.0705,117.2115,3.0,0.0,3.0,2011-12-22,10272,31,10.0,40,0.0
64,2044,143,13-Jun-1996 12:00:00 AM,Canada,129,1,500,48,15-Jan-1996 12:00:00 AM,27,65,2011-12-29,3,345,36.9705,110.9115,3.0,0.0,3.0,2011-12-22,10272,72,27.8,24,0.0
65,2045,144,31-Jul-1996 12:00:00 AM,Eastern,1142,1,501,36,04-Jan-1996 12:00:00 AM,27,66,2011-12-29,3,346,41.244,123.732,3.0,0.0,3.0,2011-12-22,10273,10,24.8,24,0.05000000074505806
66,2046,145,03-Jul-1996 12:00:00 AM,Eastern,195,1,600,12,03-Aug-1996 12:00:00 AM,28,67,2011-12-29,550,935,31.4895,17319.225,550.0,0.0,550.0,2011-12-22,10273,31,10.0,15,0.05000000074505806
67,2047,146,08-Jul-1996 12:00:00 AM,Western,690,1,601,24,10-Sep-1996 12:00:00 AM,28,68,2011-12-29,550,936,48.2895,26559.225,550.0,0.0,550.0,2011-12-22,10273,33,2.0,20,0.0
68,2048,147,07-Jul-1996 12:00:00 AM,Eastern,1596,1,700,12,10-Sep-1996 12:00:00 AM,29,69,2012-01-22,3,375,43.344,130.032,3.0,0.0,3.0,2012-01-15,10273,40,14.7,60,0.05000000074505806
69,2049,148,18-Jul-1996 12:00:00 AM,Canada,299,1,300,24,19-Aug-1996 12:00:00 AM,29,70,2012-01-22,3,376,39.0705,117.2115,3.0,0.0,3.0,2012-01-15,10273,76,14.4,33,0.05000000074505806
70,2050,149,27-Jul-1996 12:00:00 AM,Canada,467,1,301,24,30-Aug-1996 12:00:00 AM,29,71,2012-01-22,3,377,36.9705,110.9115,3.0,0.0,3.0,2012-01-15,10274,71,17.2,20,0.0
71,2051,150,13-Jul-1996 12:00:00 AM,Canada,949,1,302,36,16-Nov-1996 12:00:00 AM,29,72,2012-01-22,3,378,41.244,123.732,3.0,0.0,3.0,2012-01-15,10274,72,27.8,7,0.0
72,2052,151,31-Jul-1996 12:00:00 AM,Central,902,1,400,48,03-Jan-1996 12:00:00 AM,29,73,2012-01-22,3,379,36.9705,110.9115,3.0,0.0,3.0,2012-01-15,10275,24,3.6,12,0.05000000074505806
73,2053,152,29-Jul-1996 12:00:00 AM,Eastern,856,1,401,60,29-Dec-1996 12:00:00 AM,30,74,2012-01-22,550,476,15.8865,8737.575,550.0,0.0,550.0,2012-01-15,10275,59,44.0,6,0.05000000074505806
74,2054,153,29-Jul-1996 12:00:00 AM,Central,299,1,500,12,29-Nov-1996 12:00:00 AM,30,75,2012-01-22,550,477,11.6655,6416.025,550.0,55.0,495.0,2012-01-15,10276,10,24.8,15,0.0
75,2055,154,29-Aug-1996 12:00:00 AM,South,667,1,501,12,29-Sep-1996 12:00:00 AM,30,76,2012-01-22,550,478,11.088,6098.4,550.0,0.0,550.0,2012-01-15,10276,13,4.8,10,0.0
76,2056,155,14-Aug-1996 12:00:00 AM,Central,129,1,600,24,15-Oct-1996 12:00:00 AM,31,77,2012-01-22,3,402,47.4705,142.4115,3.0,0.0,3.0,2012-01-15,10277,28,36.4,20,0.0
77,2057,156,20-Aug-1996 12:00:00 AM,Central,1142,1,700,24,20-Sep-1996 12:00:00 AM,32,78,2012-01-22,550,510,23.079,12693.45,550.0,82.0,468.0,2012-01-15,10277,62,39.4,12,0.0
78,2058,157,06-Aug-1996 12:00:00 AM,Central,195,1,300,12,06-Oct-1996 12:00:00 AM,32,79,2012-01-22,550,511,29.274,16100.7,550.0,0.0,550.0,2012-01-15,10278,44,15.5,16,0.0
79,2059,158,05-Aug-1996 12:00:00 AM,Eastern,690,1,301,12,06-Oct-1996 12:00:00 AM,33,80,2012-01-30,3,403,45.3705,136.1115,3.0,0.0,3.0,2012-01-23,10278,59,44.0,15,0.0
80,2060,159,01-Aug-1996 12:00:00 AM,Central,1596,1,302,12,02-Nov-1996 12:00:00 AM,33,81,2012-01-30,3,404,49.644,148.932,3.0,0.0,3.0,2012-01-23,10278,63,35.1,8,0.0
81,2061,160,18-Aug-1996 12:00:00 AM,Eastern,299,1,400,24,19-Jan-1996 12:00:00 AM,33,82,2012-01-30,3,405,45.3705,136.1115,3.0,0.0,3.0,2012-01-23,10278,73,12.0,25,0.0
82,2062,161,14-Aug-1996 12:00:00 AM,Eastern,467,1,401,36,16-Dec-1996 12:00:00 AM,34,83,2012-01-30,550,525,2.3205,1276.275,550.0,550.0,0.0,2012-01-23,10279,17,31.2,15,0.25
83,2063,162,20-Aug-1996 12:00:00 AM,Central,949,1,500,48,20-Dec-1996 12:00:00 AM,35,84,2012-01-30,550,526,3.6435,2003.925,550.0,0.0,550.0,2012-01-23,10280,24,3.6,12,0.0
84,2064,163,29-Sep-1996 12:00:00 AM,Canada,902,1,501,60,01-Nov-1996 12:00:00 AM,36,85,2012-01-30,550,908,21.0945,11601.975,468.0,0.0,468.0,2012-01-23,10280,55,19.2,20,0.0
85,2065,164,04-Sep-1996 12:00:00 AM,Eastern,856,1,600,12,07-Jul-1996 12:00:00 AM,36,86,2012-01-30,550,909,30.4395,16741.725,550.0,0.0,550.0,2012-01-23,10280,75,6.2,30,0.0
86,2067,166,22-Sep-1996 12:00:00 AM,South,667,1,700,72,25-Oct-1996 12:00:00 AM,36,87,2012-01-30,550,913,40.9395,22516.725,550.0,0.0,550.0,2012-01-23,10281,19,7.3,1,0.0
87,2068,167,01-Sep-1996 12:00:00 AM,Central,129,1,300,36,01-Nov-1996 12:00:00 AM,37,88,2012-01-30,60,356,3.6015,216.09,60.0,0.0,60.0,2012-01-23,10281,24,3.6,6,0.0
88,2069,168,16-Sep-1996 12:00:00 AM,Western,1142,1,301,12,17-Aug-1996 12:00:00 AM,37,89,2012-01-30,60,357,3.9795,238.77,60.0,0.0,60.0,2012-01-23,10281,35,14.4,4,0.0
89,2070,169,30-Sep-1996 12:00:00 AM,South,195,1,302,24,31-Aug-1996 12:00:00 AM,38,90,2012-01-30,550,935,31.4895,17319.225,550.0,0.0,550.0,2012-01-23,10282,30,20.7,6,0.0
90,2071,170,22-Oct-1996 12:00:00 AM,South,299,1,400,60,24-Nov-1996 12:00:00 AM,38,91,2012-01-30,550,936,48.2895,26559.225,550.0,0.0,550.0,2012-01-23,10282,57,15.6,2,0.0
91,2072,171,15-Oct-1996 12:00:00 AM,Central,690,1,400,24,15-Nov-1996 12:00:00 AM,39,92,2012-01-30,550,524,12.9675,7132.125,550.0,0.0,550.0,2012-01-23,10283,15,12.4,20,0.0
92,2073,172,29-Oct-1996 12:00:00 AM,Eastern,1596,1,401,24,01-Dec-1996 12:00:00 AM,40,93,2012-01-30,550,911,21.0945,11601.975,550.0,0.0,550.0,2012-01-23,10283,19,7.3,18,0.0
93,2074,173,20-Oct-1996 12:00:00 AM,Eastern,299,1,500,12,20-Jan-1997 12:00:00 AM,40,94,2012-01-30,550,912,30.4395,16741.725,550.0,55.0,495.0,2012-01-23,10283,60,27.2,35,0.0
94,2074,173,20-Oct-1996 12:00:00 AM,Eastern,299,2,501,12,20-Jan-1997 12:00:00 AM,41,95,2012-01-30,550,910,40.9395,22516.725,550.0,0.0,550.0,2012-01-23,10283,72,27.8,3,0.0
95,2075,174,17-Oct-1996 12:00:00 AM,Central,467,1,600,12,18-Aug-1996 12:00:00 AM,42,96,2012-01-30,550,937,62.9895,34644.225,550.0,82.0,468.0,2012-01-23,10284,27,35.1,15,0.25
96,2076,175,16-Oct-1996 12:00:00 AM,Canada,949,1,601,36,20-Sep-1996 12:00:00 AM,43,97,2012-01-30,3,463,47.523,142.569,3.0,0.0,3.0,2012-01-23,10284,44,15.5,21,0.0
97,2077,176,06-Oct-1996 12:00:00 AM,Eastern,902,1,700,48,06-Oct-1996 12:00:00 AM,43,98,2012-01-30,3,464,45.423,136.269,3.0,0.0,3.0,2012-01-23,10284,60,27.2,20,0.25
98,2078,177,01-Nov-1996 12:00:00 AM,South,856,1,300,12,01-Nov-1996 12:00:00 AM,43,99,2012-01-30,3,465,49.6965,149.0895,3.0,0.0,3.0,2012-01-23,10284,67,11.2,5,0.25
99,2079,178,01-Nov-1996 12:00:00 AM,Eastern,299,1,301,24,04-Oct-1996 12:00:00 AM,44,100,2012-01-30,3,462,47.6805,143.0415,3.0,3.0,0.0,2012-01-23,10285,1,14.4,45,0.20000000298023224
100,2080,179,01-Nov-1996 12:00:00 AM,South,667,1,302,12,01-Nov-1996 12:00:00 AM,45,101,2012-01-30,550,510,23.4045,12872.475,550.0,0.0,550.0,2012-01-23,10285,40,14.7,40,0.20000000298023224
101,2081,180,02-Dec-1996 12:00:00 AM,Eastern,129,1,400,36,04-Dec-1996 12:00:00 AM,45,102,2012-01-30,550,511,27.867,15326.85,523.0,0.0,523.0,2012-01-23,10285,53,26.2,36,0.20000000298023224
102,2082,181,31-Dec-1996 12:00:00 AM,Eastern,1142,1,401,48,07-Jan-1997 12:00:00 AM,46,103,2012-01-30,550,527,6.7515,3713.325,468.0,0.0,468.0,2012-01-23,10286,35,14.4,100,0.0
103,2083,182,14-Dec-1996 12:00:00 AM,Western,195,1,500,60,16-Jul-1996 12:00:00 AM,47,104,2012-01-30,550,938,31.4895,17319.225,550.0,0.0,550.0,2012-01-23,10286,62,39.4,40,0.0
104,2084,183,13-Dec-1996 12:00:00 AM,South,690,1,501,60,13-Aug-1996 12:00:00 AM,47,105,2012-01-30,550,939,48.2895,26559.225,550.0,0.0,550.0,2012-01-23,10287,16,13.9,40,0.15000000596046448
105,2085,184,10-Dec-1996 12:00:00 AM,Central,1596,1,600,24,11-Sep-1996 12:00:00 AM,47,106,2012-01-30,550,509,36.2775,19952.625,550.0,0.0,550.0,2012-01-23,10287,34,11.2,20,0.0
106,2086,185,11-Jan-1997 12:00:00 AM,Eastern,299,1,601,12,12-Oct-1997 12:00:00 AM,48,107,2012-01-30,60,492,50.7465,3044.79,60.0,0.0,60.0,2012-01-23,10287,46,9.6,15,0.15000000596046448
107,2087,186,10-Jan-1997 12:00:00 AM,Central,467,1,700,36,10-Nov-1997 12:00:00 AM,48,108,2012-01-30,60,493,58.2645,3495.87,60.0,0.0,60.0,2012-01-23,10288,54,5.9,10,0.10000000149011612
108,2089,187,10-Jan-1997 12:00:00 AM,Central,949,1,300,12,14-Dec-1997 12:00:00 AM,48,109,2012-01-30,60,494,50.7465,3044.79,60.0,0.0,60.0,2012-01-23,10288,68,10.0,3,0.10000000149011612
109,2090,188,10-Jan-1997 12:00:00 AM,Central,902,1,301,24,14-Jan-1997 12:00:00 AM,48,110,2012-01-30,60,495,62.9265,3775.59,60.0,0.0,60.0,2012-01-23,10289,3,8.0,30,0.0
110,2091,189,30-Jan-1997 12:00:00 AM,Eastern,856,1,302,60,31-Dec-1997 12:00:00 AM,48,111,2012-01-30,60,496,49.6545,2979.27,60.0,0.0,60.0,2012-01-23,10289,64,26.6,9,0.0
111,2092,190,13-Feb-1997 12:00:00 AM,Central,667,1,400,12,13-Jul-1997 12:00:00 AM,49,112,2012-02-03,550,523,10.3845,5711.475,550.0,0.0,550.0,2012-01-27,10290,5,17.0,20,0.0
112,2093,191,14-Feb-1997 12:00:00 AM,South,129,1,401,24,15-Aug-1997 12:00:00 AM,50,113,2012-02-03,3,422,47.6805,143.0415,3.0,0.0,3.0,2012-01-27,10290,29,99.0,15,0.0
113,2094,192,13-Feb-1997 12:00:00 AM,Central,1142,1,500,24,15-Sep-1997 12:00:00 AM,50,114,2012-02-03,3,423,45.5805,136.7415,3.0,0.0,3.0,2012-01-27,10290,49,16.0,15,0.0
114,2095,193,14-Feb-1997 12:00:00 AM,Central,195,1,300,36,19-Oct-1997 12:00:00 AM,50,115,2012-02-03,3,424,49.854,149.562,3.0,0.0,3.0,2012-01-27,10290,77,10.4,10,0.0
115,2095,193,14-Feb-1997 12:00:00 AM,Central,195,2,301,36,19-Oct-1997 12:00:00 AM,51,116,2012-02-03,3,490,12.7155,38.1465,3.0,0.0,3.0,2012-01-27,10291,13,4.8,20,0.10000000149011612
116,2095,193,14-Feb-1997 12:00:00 AM,Central,195,3,302,36,19-Oct-1997 12:00:00 AM,51,117,2012-02-03,3,491,19.9395,59.8185,3.0,0.0,3.0,2012-01-27,10291,44,15.5,24,0.10000000149011612
117,2096,194,15-Feb-1997 12:00:00 AM,Eastern,690,1,501,12,17-Nov-1997 12:00:00 AM,52,118,2012-02-03,3,528,38.157,114.471,3.0,0.0,3.0,2012-01-27,10291,51,42.4,2,0.10000000149011612
118,2097,195,16-Feb-1997 12:00:00 AM,South,1596,1,600,48,21-Dec-1997 12:00:00 AM,53,119,2012-02-07,3,505,44.2155,132.6465,3.0,0.0,3.0,2012-01-31,10292,20,64.8,20,0.0
119,2098,196,17-Mar-1997 12:00:00 AM,Canada,299,1,601,60,17-Jan-1997 12:00:00 AM,54,120,2012-02-07,550,938,31.4895,17319.225,550.0,550.0,0.0,2012-01-31,10293,18,50.0,12,0.0
